"_id","company","payslipIds","approved","totalSalary","totalEligible","totalAdditions","totalDeductions","totalPayable","companyName"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb416c","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb416d","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb416e","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb416f","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4170","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4171","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4172","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4173","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4174","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4175","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4176","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efdd420c20001cb4177","true","229230","0","0","0","0","United Development Company"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb4179","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb417a","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb417b","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb417c","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb417d","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb417e","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb417f","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb4180","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb4181","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb4182","true","147600","0","0","0","0","Human Capital Group"
"5ab25efdd420c20001cb4178","HCG","5ab25efdd420c20001cb4183","true","147600","0","0","0","0","Human Capital Group"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c46","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c47","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c48","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c49","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c4a","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c4b","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c4c","true","291125","0","0","0","0","American Express"
"5adb13e7710e640001134c45","AMEX","5adb13e7710e640001134c4d","true","291125","0","0","0","0","American Express"
